url,title_version,model_year,mileage,engine,transmission,fuel,price,description
https://www.pakwheels.com/used-cars/honda-n-box-2024-for-sale-in-peshawar-10887601,Honda N Box 2024,2024,"5,000 km",660 cc,Automatic,Petrol,PKR 36 lacs,2 to 3 piece touchng withoutsheet new shape genuine 5k driven
https://www.pakwheels.com/used-cars/honda-vezel-2014-for-sale-in-lahore-10724694,Honda Vezel Hybrid X 2014,2014,"267,584 km",1500 cc,Automatic,Hybrid,"PKR 45 lacs
Managed by PakWheels",Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2014 Registered 2017 1 key available
https://www.pakwheels.com/used-cars/honda-n-box-2022-for-sale-in-lahore-10706323,Honda N Box Custom GL 2022,2022,"32,000 km",660 cc,Automatic,Petrol,PKR 37.5 lacs,Fitted with new tires. In showroom condition.. Price is flexible. Just imported.
https://www.pakwheels.com/used-cars/honda-city-2004-for-sale-in-faisalabad-10915695,Honda City i-DSI 2004,2004,"280,000 km",1300 cc,Manual,Petrol,PKR 17.85 lacs,Honda city 2004 model new tyres engine suspension good Seal to seal all seals are packed my own name Bio matric on the spot poshish on seats android panel smooth drive average 18-23km just buy and drive
https://www.pakwheels.com/used-cars/honda-city-1999-for-sale-in-lahore-10915720,Honda City EXi 1999,1999,"150,000 km",1300 cc,Manual,Petrol,PKR 11.2 lacs,I want to sale my Honda City 1999 model Documents clear Biometric on the spote Engine suspension ok Alloy Rims
https://www.pakwheels.com/used-cars/honda-accord-2008-for-sale-in-karachi-10876194,Honda Accord 2008,2008,"104,257 km",2400 cc,Automatic,Petrol,"PKR 40 lacs
Managed by PakWheels","Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 3rd Owner Token Tax will be Paid Manufacture 2008 Import 2008 Registered 2008 1 key available AIR SUSPENSION Engine changed, not updated in documents"
https://www.pakwheels.com/used-cars/honda-br-v-2020-for-sale-in-lahore-10914704,Honda BR-V i-VTEC S 2020,2020,"48,000 km",1500 cc,Automatic,Petrol,"PKR 49.9 lacs
Financing starts at PKR 106,209/Month",Biometric on the spot Almost brand new Lightweight allow rims . 100% original . All original documents are complete . Totally driven on petrol. In showroom condition.
https://www.pakwheels.com/used-cars/honda-city-2006-for-sale-in-islamabad-10915675,Honda City i-DSI 2006,2006,"122,000 km",1300 cc,Manual,Petrol,"PKR 21,000","I'm selling my honda city in great condition , alloy rims are installed, all orignal documents and clear, bumper, diggi, chatt, pillars, fenders, and 2 doors are genine, one door is slightly touched. machenical work is no required all ok chilled AC, and all in working just buy and drive"
https://www.pakwheels.com/used-cars/honda-city-2013-for-sale-in-nowshera-cantt-10915651,Honda City 1.3 i-VTEC 2013,2013,"111,000 km",1300 cc,Manual,Petrol,PKR 29.9 lacs,Inside out fully original. Just like a Zero Meter car. Authorized honda dealership maintained. New tires installed recently. First owner Driven by Army Lady Doctor within Cantt Area Total genuine. Price is almost final
https://www.pakwheels.com/used-cars/honda-vezel-2014-for-sale-in-karachi-10906044,Honda Vezel Hybrid Z 2014,2014,"85,000 km",1500 cc,Automatic,Hybrid,PKR 37.75 lacs,"*HONDA VEZEL HYBRID WHITE ROOM * MODEL :2014 REGISTERED:2016 KARACHI VENUE GLASS KOTING Demand :3,775,000 WHITE ROOM PUSH START ANDROID TV NAVIGATION MULTIFUNCTIONAL STEERING BACK VIEW CAMERA CRUISE CONTROL RADAR CTBA (city brake assist) ECON MODE SPORTS MODE 7 SPEED AUTO TRANSMISSION PEDAL SHIFTER LED HEAD LIGHT WITH LOW BEAM AUTO LEVELLING ELECTRONIC PARKING BRAKE EMERGENCY STOP SIGNAL 8 AIRBAGS AUTO FOLDING SIDE MIRRORS FOG LAMPS SPORTS TAIL PIPE ORIGINAL STEERING AUDIO CONTROL SWITCH ALLOYRIMS ORIGINAL FLOOR MATS JUST LIKE BRAND NEW CAR Only Serious Buyers Visiting place Karachi."
https://www.pakwheels.com/used-cars/honda-vezel-2016-for-sale-in-lahore-10776479,Honda Vezel Hybrid Z Honda Sensing 2016,2016,"90,000 km",1500 cc,Automatic,Hybrid,PKR 56 lacs,"Honda Vezel Hybrid 2016/17 car own my name S grade verified auction sheet available Like a brand-new car fresh pictures attached Top of the line variant Cruise control, multimedia, climate control, leather + heated seats n many more features Bestest comfortable n Fuel efficient in SUV's Fuel average 20+ No work required just buy n drive"
https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-lahore-10889589,Honda City 1.5L ASPIRE CVT 2021,2021,"62,000 km",1500 cc,Automatic,Petrol,"PKR 44.5 lacs
Financing starts at PKR 102,608/Month",Honda city aspire 1.5 brand new original condition model 2021 register 2021 original book and original file engine suspension 100% brand new tyre low milg apne naam see in dha
https://www.pakwheels.com/used-cars/honda-n-box-2022-for-sale-in-lahore-10474212,Honda N Box 2022,2022,"32,000 km",660 cc,Automatic,Petrol,PKR 33.5 lacs,HONDA N BOX MODEL 2022 IMPORT 2025 Parking sensors Cruise control Multimedia steering 32k driven Automatic door Total genuine
https://www.pakwheels.com/used-cars/honda-civic-2006-for-sale-in-kamra-10909550,Honda Civic EXi Prosmatec 2006,2006,"194,000 km",1500 cc,Automatic,Petrol,PKR 18.5 lacs,Lightweight allow rims . Complete original file is availble . Token tax is up to date.
https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-lahore-10915674,Honda Civic Oriel 1.8 i-VTEC CVT 2021,2021,"60,000 km",1800 cc,Automatic,Petrol,"PKR 63.5 lacs
Financing starts at PKR 101,366/Month","First owner, vehicle was delivered on December 27, 2021 registered in 2022. Immaculate condition, dealership maintained. Good year tyres."
https://www.pakwheels.com/used-cars/honda-city-2005-for-sale-in-islamabad-10914340,Honda City i-DSI 2005,2005,"124,023 km",1300 cc,Manual,Petrol,"PKR 23.25 lacs
Managed by PakWheels",- Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 1st Owner - Manufacture 2005 - Registered 2005 - 2 keys available
https://www.pakwheels.com/used-cars/honda-civic-2008-for-sale-in-karachi-10915277,Honda Civic VTi 1.8 i-VTEC 2008,2008,"105,000 km",1800 cc,Manual,Petrol,PKR 17.35 lacs,All original documents are complete.
https://www.pakwheels.com/used-cars/honda-accord-2003-for-sale-in-islamabad-10915638,Honda Accord 2003,2003,"147,000 km",2400 cc,Automatic,Petrol,PKR 22.5 lacs,its import vehicale 4 pice touching neat clean newziland import self no work req 2400cc not in hurry to sell no urgent sell thanks
https://www.pakwheels.com/used-cars/honda-insight-2019-for-sale-in-lahore-10864787,Honda Insight EX 2019,2019,"54,000 km",1500 cc,Automatic,Hybrid,PKR 79.95 lacs,Please read add completely before call all detail mention below Price is final + Showroom commission Honda Insight Hybrid Ex variant 4.5 grade verified auction sheet B2B genuine and scratchless even bumber are scratch-less & genuine Model 2019 Import & Reg 2022 First owner first hand Genuine milage 54000 100% guaranteed Inner brand new Batteries abs 100% Fresh video is available Again price is final Plus showroom commission will apply For visit Motorhub Showroom Plot No 53-E Maulana shaukat Ali road Johar town lahore.
https://www.pakwheels.com/used-cars/honda-city-2010-for-sale-in-peshawar-10915526,Honda City 1.3 i-VTEC 2010,2010,"191,740 km",1300 cc,Manual,Petrol,PKR 27.7 lacs,Good condition 2 piece touching
https://www.pakwheels.com/used-cars/honda-vezel-2016-for-sale-in-peshawar-10735402,Honda Vezel Hybrid RS Honda Sensing 2016,2016,"149,079 km",1500 cc,Automatic,Hybrid,"PKR 64 lacs
Managed by PakWheels",- Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 1st Owner - Manufacture 2016 - Import 2022 - Registered 2022 - 1 key available
https://www.pakwheels.com/used-cars/honda-city-2020-for-sale-in-lahore-10915521,Honda City 1.3 i-VTEC 2020,2020,"85,000 km",1300 cc,Manual,Petrol,"PKR 39.5 lacs
Financing starts at PKR 98,085/Month","HONDA CITY 2020 manual 1.3 Iv-tec Second owner Low millage Bumper to Bumper geniune guranteed. ( Bring ur mechanic to counter check) 2 spare keys. LCD, camera installed. New Goodyear tyres City Aspire geniune alloyrims worth 150000/- Honda Maintained.(Kept with extreme care) Graffine coating worth 30000 done. Expensive accessories installed TRX sunshades, Della Fog lamps, chrome handels. Not a single penny work in the car. Used as a third car. Location DHA phase 6"
https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-islamabad-10896518,Honda City 1.3 i-VTEC 2018,2018,"127,000 km",1300 cc,Manual,Petrol,"PKR 34.9 lacs
Financing starts at PKR 86,663/Month","Excellent Condition Family Used Only one piece Touch up, rest all Orignal No work required Engine is 100% Mechanical 100% ok"
https://www.pakwheels.com/used-cars/honda-city-2006-for-sale-in-islamabad-10905774,Honda City i-DSI Vario 2006,2006,"224,000 km",1300 cc,Automatic,Petrol,PKR 23 lacs,"Alloy Rims. seal to seal orignal .Outer shower for Fresh Look .Inner Genion . Petrol driven, CNG never installed . Brand new tires installed. Original card with Biomatric is available. Never got into accident. Price is slightly negotiable. Need to sell the car urgently."
https://www.pakwheels.com/used-cars/honda-n-box-2015-for-sale-in-peshawar-10830641,Honda N Box Custom 2015,2015,"95,000 km",658 cc,Automatic,Petrol,PKR 27 lacs,total genuine bumper to bumper first onwer fresh bio metric available
https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-karachi-10915584,Honda City Aspire Prosmatec 1.5 i-VTEC 2018,2018,"64,000 km",1500 cc,Automatic,Petrol,"PKR 39 lacs
Financing starts at PKR 96,844/Month","Honda City I-VTEC Aspire 1.5 Automatic - Top of the line variant. This Car is kept with extreme love & care, never been into any accident, All maintenance done in a timely fashion through Honda Dealership (maintenance records available) therefore no work is required - just buy and drive. - Under my own name - Transfer is must - Honda dealership maintained - Original new Ajrak Number plates installed - Original Aspire alloy rims installed - Immobilizer key genuine (both keys available) - Leather Seats & leather stitched steering cover - LED Headlights + LED Fog lights (original lamps also available) - Genuine company fitted Android LCD panel - Token taxes paid - complete documents are available - Transmission oil also recently changed (costs about 15k) Visit/Calls Timings: - Monday - Friday: Only contact after 7pm - Saturday - Sunday: Anytime is fine Please no offers/negotiations over the phone & WhatsApp messages. ONLY SERIOUS BUYER MAY CONTACT!"
https://www.pakwheels.com/used-cars/honda-n-box-2024-for-sale-in-peshawar-10887601,Honda N Box 2024,2024,"5,000 km",660 cc,Automatic,Petrol,PKR 36 lacs,2 to 3 piece touchng withoutsheet new shape genuine 5k driven
https://www.pakwheels.com/used-cars/honda-civic-1996-for-sale-in-karachi-10915637,Honda Civic EXi 1996,1996,"100,000 km",1500 cc,Manual,Petrol,PKR 8 lacs,1996 Model Transfer Must all oky no work required
https://www.pakwheels.com/used-cars/honda-city-2015-for-sale-in-karachi-10915510,Honda City 1.3 i-VTEC 2015,2015,"113,000 km",1300 cc,Manual,Petrol,PKR 24.85 lacs,"Honda City 2015 Manual 2nd Owner in Excellent Condition. 113000kms Driven. -Outside Few Touchups Roof and Pillars Original -Throughout Petrol Driven -Original Sealed Powerful Engine -Chilled AC -100% Battery -Perfect Suspension All Documents are clear and Original Fixed price """"""2485,000/-"""""" lacs no bargaining at All. Transfer Must. Can be seen in DEFENCE phase 8 KARACHI."
https://www.pakwheels.com/used-cars/honda-vezel-2014-for-sale-in-lahore-10724694,Honda Vezel Hybrid X 2014,2014,"267,584 km",1500 cc,Automatic,Hybrid,"PKR 45 lacs
Managed by PakWheels",Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2014 Registered 2017 1 key available
https://www.pakwheels.com/used-cars/honda-civic-2023-for-sale-in-lahore-10913300,Honda Civic Oriel 2023,2023,"40,516 km",1500 cc,Automatic,Petrol,"PKR 81 lacs
Financing starts at PKR 100,568/Month
Managed by PakWheels",PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2023 Registered 2023 2 keys available
https://www.pakwheels.com/used-cars/honda-vezel-2018-for-sale-in-lahore-10070757,Honda Vezel Hybrid Z Style Edition 2018,2018,"99,000 km",1500 cc,Automatic,Hybrid,PKR 69 lacs,Honda vezel 2018 model 2024 mid import and registered First owner. self import. 4.5 grade auctionsheet available. Import mileage 80000 and now 99000. Yokohama Tyres. japan pics also available orange interior FULLY LOADED ADOPTIVE CRUISE MULTIMEDIA AUTO BREAKING LINE ASSISTANT. BODYKITS Mugen spoiler android pannel. bumper to bumper total genuine. serious buyers please no exchange offers please
https://www.pakwheels.com/used-cars/honda-city-2014-for-sale-in-karachi-10892970,Honda City 1.3 i-VTEC Prosmatec 2014,2014,"81,400 km",1300 cc,Automatic,Petrol,PKR 28 lacs,Honda City 1.3 automatic Model 2014 Colour white Km 81000 First owner No work required Demand 2800000
https://www.pakwheels.com/used-cars/honda-civic-1995-for-sale-in-islamabad-10915647,Honda Civic EX 1995,1995,"135,000 km",1500 cc,Manual,Petrol,PKR 9.4 lacs,oragnal documents on my name
https://www.pakwheels.com/used-cars/honda-vezel-2014-for-sale-in-islamabad-10915537,Honda Vezel Hybrid Z 2014,2014,"100,023 km",1500 cc,Automatic,Hybrid,PKR 47.75 lacs,4.5 Garde Complete auction sheet available. Everything is in genuine condition . Driven on petrol throughout . Original book is available as well.
https://www.pakwheels.com/used-cars/honda-city-2016-for-sale-in-faisalabad-10915531,Honda City 1.3 i-VTEC Prosmatec 2016,2016,"115,000 km",1300 cc,Automatic,Petrol,"PKR 32.5 lacs
Financing starts at PKR 80,703/Month",Silver metalic color Family used Car New tye instal Bridgestone k just 2000 milege Hise ka kaam Complte Chat digi bounat Jenion Hai side shawer
https://www.pakwheels.com/used-cars/honda-city-2015-for-sale-in-sahiwal-10915623,Honda City 1.3 i-VTEC 2015,2015,"116,470 km",1300 cc,Manual,Petrol,PKR 28 lacs,Complete original file is availble . Totally driven on petrol. In showroom condition. New tires installed recently . Need to sell the car urgently.
https://www.pakwheels.com/used-cars/honda-city-2016-for-sale-in-islamabad-10915645,Honda City 1.3 i-VTEC Prosmatec 2016,2016,"133,000 km",1300 cc,Automatic,Petrol,"PKR 38.7 lacs
Financing starts at PKR 96,099/Month","Honda City 1.3 i- VTEC Prosmatec Model 2016 Total genuine paint In Use of Army Officer 2nd owner Original mileage 1.33 lak Engine 100% Suspension 100% AC chill 100% Tire brand new Document original Biometric on the spot On my name. Can be seen in DHA 2, Islamabad Inside out fully original."
https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-islamabad-10875977,Honda City 1.3 i-VTEC 2018,2018,"62,000 km",1300 cc,Manual,Petrol,"PKR 35.99 lacs
Financing starts at PKR 89,369/Month","2018 City 1.3 basic Isb register Untouch body 62k Milige 35,99000/= Asking"
https://www.pakwheels.com/used-cars/honda-stream-2007-for-sale-in-peshawar-10714288,Honda Stream 1.8 RSZ 2007,2007,"209,725 km",1800 cc,Automatic,Petrol,"PKR 27 lacs
Managed by PakWheels",- Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 1st Owner - Manufacture 2007 - Registered 2015 - 1 key available
https://www.pakwheels.com/used-cars/honda-city-2022-for-sale-in-karachi-10797072,Honda City 1.5L ASPIRE CVT 2022,2022,"25,591 km",1500 cc,Automatic,Petrol,"PKR 53 lacs
Financing starts at PKR 103,406/Month
Managed by PakWheels",Floor Matts Seat Covers Head Rest Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2022 Registered 2022 2 keys available
https://www.pakwheels.com/used-cars/honda-n-box-2022-for-sale-in-lahore-10474212,Honda N Box 2022,2022,"32,000 km",660 cc,Automatic,Petrol,PKR 33.5 lacs,HONDA N BOX MODEL 2022 IMPORT 2025 Parking sensors Cruise control Multimedia steering 32k driven Automatic door Total genuine
https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-karachi-10908590,Honda City 1.5 i-VTEC Prosmatec 2018,2018,"64,000 km",1500 cc,Automatic,Petrol,"PKR 39 lacs
Financing starts at PKR 96,844/Month","Honda City I-VTEC Aspire 1.5 Automatic - Top of the line variant. This Car is kept with extreme love & care, never been into any accident, All maintenance done in a timely fashion through Honda Dealership (maintenance records available) therefore no work is required - just buy and drive. - Under my own name - Transfer is must - Honda dealership maintained - Original new Ajrak Number plates installed - Original Aspire alloy rims installed - Immobilizer key genuine (both keys available) - Leather Seats & leather stitched steering cover - LED Headlights + LED Fog lights (original lamps also available) - Genuine company fitted Android LCD panel - Token taxes paid - complete documents are available - Transmission oil also recently changed (costs about 15k) Visit/Calls Timings: - Monday - Friday: Only contact after 7pm - Saturday - Sunday: Anytime is fine Please no offers/negotiations over the phone & WhatsApp messages. ONLY SERIOUS BUYER MAY CONTACT!"
https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-sargodha-10599840,Honda City 1.3 i-VTEC 2018,2018,"123,000 km",1300 cc,Manual,Petrol,"PKR 34.5 lacs
Financing starts at PKR 85,669/Month",Honda city home use car Urgent sale
https://www.pakwheels.com/used-cars/honda-insight-2020-for-sale-in-peshawar-10815446,Honda Insight EX 2020,2020,"46,745 km",1500 cc,Automatic,Hybrid,"PKR 1.02 crore
Managed by PakWheels",- Documents available - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 1st Owner - Manufacture 2020 - Registered 2024 - 2 keys available
https://www.pakwheels.com/used-cars/honda-civic-2008-for-sale-in-karachi-10915277,Honda Civic VTi 1.8 i-VTEC 2008,2008,"105,000 km",1800 cc,Manual,Petrol,PKR 17.35 lacs,All original documents are complete.
https://www.pakwheels.com/used-cars/honda-city-2025-for-sale-in-lahore-10915475,Honda City 1.2L CVT 2025,2025,25 km,1200 cc,Automatic,Petrol,"PKR 48.75 lacs
Financing starts at PKR 103,761/Month",Honda city Auto 1.2-2025 Open Invoice Metroid Grey Colour Unregistered Zero Meter.
https://www.pakwheels.com/used-cars/honda-civic-2015-for-sale-in-karachi-10915422,Honda Civic Oriel Prosmatec UG 2015,2015,"110,000 km",1800 cc,Automatic,Petrol,PKR 34.95 lacs,Honda civic 2015 model UG only one fender touchup rest full original inside outside 3 camera everything in perfect condition
https://www.pakwheels.com/used-cars/honda-city-2015-for-sale-in-lahore-10915443,Honda City 1.3 i-VTEC 2015,2015,"153,000 km",1300 cc,Manual,Petrol,PKR 32.9 lacs,Bumper to Bumper 100 % Genuine. Original Book is available. All token taxes are paid to date. Bio metric on spot.
https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-islamabad-10915416,Honda City 1.3 i-VTEC 2018,2018,"950,000 km",1300 cc,Manual,Petrol,"PKR 36.5 lacs
Financing starts at PKR 90,636/Month",Need to sell the car urgently.
https://www.pakwheels.com/used-cars/honda-city-2019-for-sale-in-lahore-10915487,Honda City 1.3 i-VTEC Prosmatec 2019,2019,"103,309 km",1300 cc,Automatic,Petrol,"PKR 42.5 lacs
Financing starts at PKR 105,535/Month",Alloy Rims. Original return file is available . Urgently need to sellthe car. Just like a Zero Meter car. Totally driven on petrol. Alloy Rims.
https://www.pakwheels.com/used-cars/honda-city-2020-for-sale-in-lahore-10915521,Honda City 1.3 i-VTEC 2020,2020,"85,000 km",1300 cc,Manual,Petrol,"PKR 39.5 lacs
Financing starts at PKR 98,085/Month","HONDA CITY 2020 manual 1.3 Iv-tec Second owner Low millage Bumper to Bumper geniune guranteed. ( Bring ur mechanic to counter check) 2 spare keys. LCD, camera installed. New Goodyear tyres City Aspire geniune alloyrims worth 150000/- Honda Maintained.(Kept with extreme care) Graffine coating worth 30000 done. Expensive accessories installed TRX sunshades, Della Fog lamps, chrome handels. Not a single penny work in the car. Used as a third car. Location DHA phase 6"
https://www.pakwheels.com/used-cars/honda-city-2016-for-sale-in-karachi-10904800,Honda City 1.3 i-VTEC 2016,2016,"120,000 km",1300 cc,Manual,Petrol,"PKR 27.45 lacs
Financing starts at PKR 68,163/Month",Honda City 2016 ivtec manual Tramsmission Solid Soundless Engine Excellent Fuel Average Smooth drive Neat And clean interior BrandNew Tyers Original Condition No major or minor Accident complete document Simply all i can Say that its a well Miantained Car Slightly Touchup Price Is already Very resonable so Dont ask for Final Price on call Please Visit For Final Price On the spot City 2009 City 2010 City 2011 City 2012 City 2013 City 2014 City 2015 City 2017 Swift Passo Vitz Suzuki Cultus Aspire
https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-islamabad-10861500,Honda Civic Oriel 1.8 i-VTEC CVT 2019,2019,"61,580 km",1800 cc,Automatic,Petrol,"PKR 50 lacs
Financing starts at PKR 106,421/Month
Managed by PakWheels",Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax not Paid Manufacture 2019 Registered 2019 2 keys available
https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-islamabad-10896518,Honda City 1.3 i-VTEC 2018,2018,"127,000 km",1300 cc,Manual,Petrol,"PKR 34.9 lacs
Financing starts at PKR 86,663/Month","Excellent Condition Family Used Only one piece Touch up, rest all Orignal No work required Engine is 100% Mechanical 100% ok"
https://www.pakwheels.com/used-cars/honda-city-2011-for-sale-in-islamabad-10323589,Honda City 1.3 i-VTEC 2011,2011,"150,000 km",1300 cc,Manual,Petrol,PKR 24.5 lacs,honda city 2011 model outer touching on few pieces interior nd mechanically brand new duplicate card
https://www.pakwheels.com/used-cars/honda-city-2025-for-sale-in-lahore-10402433,Honda City 1.2L CVT 2025,2025,25 km,1200 cc,Automatic,Petrol,"PKR 48.75 lacs
Financing starts at PKR 103,761/Month",Honda City Auto 1.2-2025 Open Invoice Black Unregistered Zero Meter.
https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-karachi-10737117,Honda Civic Oriel Prosmatec UG 2016,2016,"90,509 km",1800 cc,Automatic,Petrol,"PKR 39 lacs
Financing starts at PKR 96,844/Month
Managed by PakWheels",- Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 2nd Owner - Manufacture 2016 - Registered 2016 - 2 keys available
https://www.pakwheels.com/used-cars/honda-city-2019-for-sale-in-faisalabad-10810592,Honda City 1.3 i-VTEC Prosmatec 2019,2019,"58,000 km",1300 cc,Automatic,Petrol,"PKR 39.5 lacs
Financing starts at PKR 98,085/Month",Islamabad register total genuine no work required family user car neal and clean interior and exterior Driven on petrol throughout . Price is slightly negotiable
https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-rawalpindi-10805349,Honda Civic Oriel 1.8 i-VTEC CVT 2017,2017,"92,800 km",1800 cc,Automatic,Petrol,"PKR 53 lacs
Financing starts at PKR 103,406/Month","Immaculate condition, all documents are available bio metric and smart card are available token taxes are all up to date total neat and clean condition well maintained. Two digit number. tyres are in good condition army officer used car 928OO km driven token taxes are all up to date total neat and clean condition well maintained gari tyres are in good condition army officer used car 928OO km driven Price is negotiable"
https://www.pakwheels.com/used-cars/honda-civic-2023-for-sale-in-lahore-10913300,Honda Civic Oriel 2023,2023,"40,516 km",1500 cc,Automatic,Petrol,"PKR 81 lacs
Financing starts at PKR 100,568/Month
Managed by PakWheels",PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2023 Registered 2023 2 keys available
https://www.pakwheels.com/used-cars/honda-city-2014-for-sale-in-karachi-10892970,Honda City 1.3 i-VTEC Prosmatec 2014,2014,"81,400 km",1300 cc,Automatic,Petrol,PKR 28 lacs,Honda City 1.3 automatic Model 2014 Colour white Km 81000 First owner No work required Demand 2800000
https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-islamabad-10553338,Honda City Aspire 1.5 i-VTEC 2018,2018,"74,000 km",1500 cc,Manual,Petrol,"PKR 37.3 lacs
Financing starts at PKR 92,622/Month",Inside out fully original. In showroom condition. All original documents are complete. Non accidental. Token tax is up to date.fuel Avg.on long 17and city 15 KM per litter own name Can be called on WhatsApp from 10am to 09-00 pm can be seen at Golra More Peshawar Road Gulshan E Khudadad Islamabad Kindly call preferably on WhatsApp
